ref,value,datasheet,footprint
CD1,0.1u,~,SM0805
CD2,0.1u,~,SM0805
CD3,0.1u,~,SM0805
CD4,0.1u,~,SM0805
CH1,10p,~,SM0805
CH2,10p,~,SM0805
CH3,10p,~,SM0805
CH4,10p,~,SM0805
DCM1,CONN_6,,SIL6-offset-0p005
HALL6IN1,CONN_6,,SIL6-offset-0p005
HALL6OUT1,CONN_6,,SIL6-offset-0p005
IC1,ATTINY84A-SS,http://www.atmel.com/devices/ATTINY84A.aspx,SO14E
ISP6PIN1,CONN_3X2,,pin_array_3x2-offset-0p005
RBRK1,5K,~,SM0805
RDIR1,0,~,SM0805
RENB1,5K,~,SM0805
RESET1,CONN_2,,SIL-2
RMODE1,5K,~,SM0805
RPHASE1,5K,~,SM0805
RPU1,CONN_2,,SM0805
RPU2,CONN_2,http://www.allegromicro.com/en/Products/Magnetic-Digital-Position-Sensor-ICs/Micropower-Switches-Latches/A3213-4.aspx,SM0805
RPU3,CONN_2,,SM0805
RPU4,CONN_2,,SM0805
RRESET1,5K,~,SM0805
SENSE1,CONN_3,http://www.freescale.com/webapp/sps/site/prod_summary.jsp?code=MPX5500,SIL3-offset-0p005
STEPIN1,CONN_5X2,,PIN_ARRAY_5x2-offset-0p005
UHall1,A3213,http://www.allegromicro.com/en/Products/Magnetic-Digital-Position-Sensor-ICs/Micropower-Switches-Latches/A3213-4.aspx,SOT-23W
UHall2,A3213,http://www.allegromicro.com/en/Products/Magnetic-Digital-Position-Sensor-ICs/Micropower-Switches-Latches/A3213-4.aspx,SOT-23W
UHall3,A3213,http://www.allegromicro.com/en/Products/Magnetic-Digital-Position-Sensor-ICs/Micropower-Switches-Latches/A3213-4.aspx,SOT-23W
UHall4,A3213,http://www.allegromicro.com/en/Products/Magnetic-Digital-Position-Sensor-ICs/Micropower-Switches-Latches/A3213-4.aspx,SOT-23W
